date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:37:12	2131/2131	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:37:12%20GMT	https://forums.ficsit.app/t/about-the-help-category/67.rss	/home/vilsol/forum-backup/fbackup/t/about-the-help-category/67.rss	(from https://forums.ficsit.app/t/about-the-help-category/67)
17:37:13	2717/2717	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:37:13%20GMT	https://forums.ficsit.app/t/area-action-compatibility-problem/329.rss	/home/vilsol/forum-backup/fbackup/t/area-action-compatibility-problem/329.rss	(from https://forums.ficsit.app/t/area-action-compatibility-problem/329)
17:37:14	9172/9172	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:37:14%20GMT	https://forums.ficsit.app/t/sml-loading-error/161.rss	/home/vilsol/forum-backup/fbackup/t/sml-loading-error/161.rss	(from https://forums.ficsit.app/t/sml-loading-error/161)
17:37:16	14813/14813	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2001%20Jun%202022%2014:37:15%20GMT	https://forums.ficsit.app/t/farming-mod-batteries-and-solar-panels/59.rss	/home/vilsol/forum-backup/fbackup/t/farming-mod-batteries-and-solar-panels/59.rss	(from https://forums.ficsit.app/t/farming-mod-batteries-and-solar-panels/59)
17:37:17	4017/4017	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Jun%202022%2014:37:16%20GMT	https://forums.ficsit.app/u/mrhid6	/home/vilsol/forum-backup/fbackup/u/mrhid6.html	(from https://forums.ficsit.app/t/farming-mod-batteries-and-solar-panels/59)
17:37:17	551/551	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%201990%2000:00:00%20GMT	https://forums.ficsit.app/letter_avatar_proxy/v4/letter/y/ecd19e/45.png	/home/vilsol/forum-backup/fbackup/letter_avatar_proxy/v4/letter/y/ecd19e/45.png	(from https://forums.ficsit.app/u/yuyaryshev)
17:37:18	3449/3449	---M--	200	added ('OK')	image/jpeg	date:Mon,%2030%20Mar%202020%2002:09:02%20GMT	https://forums.ficsit.app/user_avatar/forums.ficsit.app/adventure4life/45/162_2.png	/home/vilsol/forum-backup/fbackup/user_avatar/forums.ficsit.app/adventure4life/45/162_2.jpg	(from https://forums.ficsit.app/u/Adventure4Life)
17:37:19	400/400	---M--	200	added ('OK')	image/png	date:Mon,%2020%20Apr%202020%2006:18:49%20GMT	https://forums.ficsit.app/user_avatar/forums.ficsit.app/jamierchi/45/187_2.png	/home/vilsol/forum-backup/fbackup/user_avatar/forums.ficsit.app/jamierchi/45/187_2.png	(from https://forums.ficsit.app/u/JamieRCHI)
17:37:20	808/808	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Jan%201990%2000:00:00%20GMT	https://forums.ficsit.app/letter_avatar_proxy/v4/letter/m/db5fbb/45.png	/home/vilsol/forum-backup/fbackup/letter_avatar_proxy/v4/letter/m/db5fbb/45.png	(from https://forums.ficsit.app/u/Mika_Noren)
17:37:21	2292/2292	---M--	200	added ('OK')	image/jpeg	date:Mon,%2017%20Jan%202022%2012:05:26%20GMT	https://forums.ficsit.app/user_avatar/forums.ficsit.app/leon_wilk/45/544_2.png	/home/vilsol/forum-backup/fbackup/user_avatar/forums.ficsit.app/leon_wilk/45/544_2.jpg	(from https://forums.ficsit.app/u/Leon_Wilk)
